Rep Code,Route,Customer Code,Customer Name,SalesX,Sale,Lgsale,GP,GPX,Loggp,GppeX,Gpperc,Month
KAM,Collection,LUN-06,STAFF -LUNGISANI HADEBE,-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,May
KAM,Collection,MEN-01,STAFF MENZELENI,419,418.9999999999999,6.037870919922137,1.0,-0.12,0.0,-0.0002863961813842482,0.0,May
KAM,Collection,NHL-01,STAFF NHLAKANIPHO MZIMELA,238,238.00000000000009,5.472270673671475,0.5,0.5,-0.6931471805599453,0.0021008403361344537,0.002100840336134453,May
KAM,Collection,PIN-09,STAFF PINKY,-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,May
KAM,Collection,PRI-08,STAFF PRISCA,301,300.9999999999999,5.707110264748875,0.43,0.43,-0.843970070294529,0.0014285714285714286,0.001428571428571429,May
KAM,Collection,RAJ-03,STAFF RAJEN NAIDOO,1100,1099.9999999999995,7.003065458786462,0.3,0.3,-1.2039728043259361,0.00027272727272727274,0.0002727272727272726,May
KAM,Collection,ROB,STAFF ROBERTA,951,951.0,6.85751406254539,1.0,-0.26,0.0,-0.0002733964248159832,0.0,May
KAM,Collection,SAN-03,STAFF SANDILE,90,90.0,4.499809670330265,1.0,-0.4,0.0,-0.0044444444444444444,0.0,May
KAM,Collection,SAN-10,STAFF -SANDRA PILLAY,-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,May
KAM,Collection,SHI-02,STAFF SHIREEN PILLAY,3563,3562.9999999999995,8.178358165605836,0.65,0.65,-0.4307829160924542,0.00018243053606511369,0.0001824305360651137,May
